trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.9, 'e': 0.35204368710198464}",30,0,-35.099159930745124,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",1
117,False,"{'a': 0.9, 'e': 0.34888950901015336}",20,0,-79.32464557990598,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
118,False,"{'a': 0.9, 'e': 0.34576359115930783}",20,14,-30.418746670740937,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.9, 'e': 0.3426656803483929}",30,23,6.9431090234286374,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.33959552564493922}",25,6,-39.77875846321206,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
121,False,"{'a': 0.9, 'e': 0.33655287836473702}",25,7,20.03577308324564,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.33353749205169325}",20,13,-41.15518574004174,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.9, 'e': 0.33054912245786772}",20,12,4.101918184751092,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.32758752752368958}",25,9,-43.85452979477055,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
125,False,"{'a': 0.9, 'e': 0.32465246735834974}",20,0,4.159339816981854,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.9, 'e': 0.32174370422037019}",30,9,-89.75969230576179,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 2}",1
127,False,"{'a': 0.9, 'e': 0.31886100249834631}",30,22,11.35727600659018,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.31600412869186256}",30,10,11.598535611683888,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.31317285139257856}",30,9,-30.11752954006675,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.9, 'e': 0.31036694126548503}",25,2,25.1574108341796,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.30758617103032765}",20,12,12.452082152008963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.30483031544319683}",20,0,13.821522495781164,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.9, 'e': 0.30209915127828346}",30,0,-94.48464279803342,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
134,False,"{'a': 0.9, 'e': 0.29939245730979669}",25,5,2.9443679090764214,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.29671001429404531}",20,3,7.403493372708318,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.29405160495167837}",20,1,-32.445838180303355,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
137,False,"{'a': 0.9, 'e': 0.29141701395008573}",20,11,-2.9723949468987727,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
